Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,South America,,,,,,,,,,,,,,,Oceania,,,,,,,,,,,,,,,,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,
,,Africa Total,,,,,North America Total,,,,,U.S.A.,,,,,Canada,,,,,Mexico,,,,,North America Unclassified,,,,,South America Total,,,,,Brazil,,,,,South America Unclassified,,,,,Oceania Total,,,,,Australia,,,,,New Zealand,,,,,Oceania Unclassified,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,,,,,,,,,,,,,,
,Jul．,"1,105 ",365 ,381 ,332 ,27 ,"63,462 ","33,937 ","22,210 ","7,310 ",5 ,"53,572 ","27,505 ","20,346 ","5,720 ",1 ,"8,089 ","5,222 ","1,579 ","1,287 ",1 ,"1,216 ",914 ,164 ,138 ,,585 ,296 ,121 ,165 ,3 ,"4,699 ","3,591 ",513 ,524 ,71 ,"3,261 ","2,621 ",244 ,348 ,48 ,"1,438 ",970 ,269 ,176 ,23 ,"12,479 ","5,642 ","2,694 ","1,503 ","2,640 ","9,143 ","3,594 ","1,850 ","1,067 ","2,632 ","2,851 ","1,758 ",761 ,332 ,,485 ,290 ,83 ,104 ,8 ,396 ,218 ,89 ,13 ,76 ,"407,510 ","264,630 ","92,995 ","37,544 ","12,341 ",,,,,,,,,,,,,,,
,Aug．,"1,370 ",349 ,422 ,573 ,26 ,"58,691 ","28,047 ","19,184 ","11,451 ",9 ,"48,624 ","21,931 ","17,580 ","9,113 ",,"8,760 ","5,390 ","1,348 ","2,022 ",,825 ,536 ,148 ,141 ,,482 ,190 ,108 ,175 ,9 ,"4,303 ","2,908 ",541 ,772 ,82 ,"2,511 ","1,805 ",251 ,391 ,64 ,"1,792 ","1,103 ",290 ,381 ,18 ,"10,124 ","4,239 ","2,354 ","1,952 ","1,579 ","7,669 ","2,994 ","1,669 ","1,443 ","1,563 ","2,229 ","1,165 ",641 ,423 ,,226 ,80 ,44 ,86 ,16 ,525 ,369 ,58 ,40 ,58 ,"395,056 ","245,466 ","78,159 ","59,891 ","11,540 ",,,,,,,,,,,,,,,
,Sep．,"1,314 ",300 ,485 ,499 ,30 ,"58,221 ","24,485 ","26,295 ","7,439 ",2 ,"50,053 ","20,290 ","23,924 ","5,839 ",,"6,923 ","3,479 ","2,049 ","1,395 ",,813 ,509 ,188 ,116 ,,432 ,207 ,134 ,89 ,2 ,"4,518 ","3,198 ",673 ,574 ,73 ,"2,736 ","2,084 ",306 ,284 ,62 ,"1,782 ","1,114 ",367 ,290 ,11 ,"13,854 ","7,537 ","3,095 ","1,293 ","1,929 ","10,832 ","5,784 ","2,155 ",970 ,"1,923 ","2,784 ","1,685 ",857 ,242 ,,238 ,68 ,83 ,81 ,6 ,264 ,138 ,65 ,15 ,46 ,"345,382 ","183,774 ","104,107 ","49,409 ","8,092 ",,,,,,,,,,,,,,,
,Oct．,"1,735 ",388 ,762 ,562 ,23 ,"74,736 ","38,020 ","31,501 ","5,212 ",3 ,"64,154 ","31,801 ","28,243 ","4,110 ",,"9,130 ","5,384 ","2,824 ",922 ,,913 ,594 ,239 ,79 ,1 ,539 ,241 ,195 ,101 ,2 ,"4,664 ","3,159 ",872 ,535 ,98 ,"2,760 ","2,073 ",392 ,233 ,62 ,"1,904 ","1,086 ",480 ,302 ,36 ,"12,350 ","5,284 ","4,273 ","1,144 ","1,649 ","9,540 ","4,080 ","2,974 ",847 ,"1,639 ","2,449 ","1,101 ","1,157 ",191 ,,361 ,103 ,142 ,106 ,10 ,297 ,163 ,87 ,26 ,21 ,"419,235 ","230,265 ","138,508 ","43,140 ","7,322 ",,,,,,,,,,,,,,,
,Nov．,"1,481 ",309 ,741 ,408 ,23 ,"61,490 ","26,207 ","29,610 ","5,663 ",10 ,"52,112 ","21,209 ","26,183 ","4,717 ",3 ,"8,008 ","4,323 ","2,951 ",734 ,,778 ,435 ,267 ,76 ,,592 ,240 ,209 ,136 ,7 ,"4,005 ","2,590 ",927 ,418 ,70 ,"2,506 ","1,772 ",451 ,229 ,54 ,"1,499 ",818 ,476 ,189 ,16 ,"11,043 ","4,477 ","3,651 ","1,142 ","1,773 ","8,641 ","3,415 ","2,614 ",856 ,"1,756 ","2,175 ",991 ,958 ,226 ,,227 ,71 ,79 ,60 ,17 ,263 ,165 ,66 ,15 ,17 ,"342,434 ","173,145 ","124,975 ","36,056 ","8,258 ",,,,,,,,,,,,,,,
,Dec．,999 ,311 ,357 ,310 ,21 ,"51,633 ","27,483 ","19,082 ","5,066 ",2 ,"43,300 ","21,517 ","17,573 ","4,210 ",,"7,421 ","5,403 ","1,290 ",728 ,,629 ,416 ,117 ,96 ,,283 ,147 ,102 ,32 ,2 ,"3,672 ","3,090 ",265 ,252 ,65 ,"2,568 ","2,273 ",128 ,120 ,47 ,"1,104 ",817 ,137 ,132 ,18 ,"12,434 ","6,547 ","1,740 ","1,093 ","3,054 ","10,287 ","5,130 ","1,303 ",830 ,"3,024 ","1,965 ","1,336 ",405 ,224 ,,182 ,81 ,32 ,39 ,30 ,363 ,268 ,58 ,8 ,29 ,"280,991 ","168,597 ","73,385 ","29,577 ","9,432 ",,,,,,,,,,,,,,,
,1998　Jan．,"1,106 ",223 ,334 ,528 ,21 ,"59,799 ","22,043 ","23,960 ","13,794 ",2 ,"48,625 ","16,388 ","21,684 ","10,551 ",2 ,"10,201 ","5,249 ","2,012 ","2,940 ",,587 ,265 ,144 ,178 ,,386 ,141 ,120 ,125 ,,"3,344 ","2,139 ",341 ,789 ,75 ,"1,971 ","1,426 ",124 ,366 ,55 ,"1,373 ",713 ,217 ,423 ,20 ,"12,422 ","4,538 ","2,254 ","2,889 ","2,741 ","10,010 ","3,501 ","1,670 ","2,111 ","2,728 ","2,230 ",997 ,549 ,684 ,,182 ,40 ,35 ,94 ,13 ,426 ,268 ,58 ,22 ,78 ,"324,913 ","174,130 ","77,477 ","64,787 ","8,519 ",,,,,,,,,,,,,,,
,Feb．,968 ,208 ,414 ,325 ,21 ,"55,476 ","25,347 ","26,097 ","4,031 ",1 ,"46,476 ","19,741 ","23,484 ","3,250 ",1 ,"8,073 ","5,136 ","2,262 ",675 ,,609 ,330 ,228 ,51 ,,318 ,140 ,123 ,55 ,,"2,825 ","1,957 ",425 ,370 ,73 ,"1,769 ","1,297 ",208 ,214 ,50 ,"1,056 ",660 ,217 ,156 ,23 ,"9,096 ","3,301 ","2,823 ",997 ,"1,975 ","7,361 ","2,565 ","2,097 ",733 ,"1,966 ","1,596 ",681 ,695 ,219 ,1 ,139 ,55 ,31 ,45 ,8 ,261 ,106 ,66 ,29 ,60 ,"284,792 ","151,429 ","92,359 ","34,837 ","6,167 ",,,,,,,,,,,,,,,
,Mar．,"1,100 ",246 ,480 ,352 ,22 ,"67,052 ","31,100 ","28,426 ","7,525 ",1 ,"56,318 ","24,539 ","25,725 ","6,053 ",1 ,"9,452 ","5,986 ","2,230 ","1,236 ",,865 ,418 ,312 ,135 ,,417 ,157 ,159 ,101 ,,"3,280 ","2,049 ",594 ,561 ,76 ,"2,104 ","1,457 ",285 ,308 ,54 ,"1,176 ",592 ,309 ,253 ,22 ,"12,629 ","4,317 ","3,250 ","1,823 ","3,239 ","10,125 ","3,243 ","2,318 ","1,334 ","3,230 ","2,301 ","1,026 ",862 ,413 ,,203 ,48 ,70 ,76 ,9 ,358 ,213 ,69 ,30 ,46 ,"325,185 ","165,303 ","103,320 ","48,712 ","7,850 ",,,,,,,,,,,,,,,
,Apr．,"1,284 ",360 ,446 ,451 ,27 ,"68,097 ","35,835 ","24,771 ","7,491 ",,"57,658 ","28,990 ","22,620 ","6,048 ",,"9,232 ","6,094 ","1,849 ","1,289 ",,872 ,604 ,188 ,80 ,,335 ,147 ,114 ,74 ,,"3,871 ","2,685 ",541 ,556 ,89 ,"2,416 ","1,860 ",206 ,290 ,60 ,"1,455 ",825 ,335 ,266 ,29 ,"14,159 ","6,407 ","2,775 ","1,686 ","3,291 ","11,233 ","4,685 ","2,066 ","1,218 ","3,264 ","2,720 ","1,648 ",673 ,399 ,,206 ,74 ,36 ,69 ,27 ,374 ,242 ,75 ,20 ,37 ,"349,854 ","204,049 ","91,968 ","45,902 ","7,935 ",,,,,,,,,,,,,,,
,May．,"1,133 ",241 ,521 ,348 ,23 ,"68,868 ","35,280 ","27,254 ","6,334 ",,"59,532 ","29,834 ","24,789 ","4,909 ",,"8,109 ","4,891 ","2,010 ","1,208 ",,789 ,374 ,292 ,123 ,,438 ,181 ,163 ,94 ,,"3,762 ","2,402 ",653 ,608 ,99 ,"1,886 ","1,275 ",322 ,219 ,70 ,"1,876 ","1,127 ",331 ,389 ,29 ,"12,015 ","4,579 ","3,169 ","1,276 ","2,991 ","9,414 ","3,282 ","2,235 ",948 ,"2,949 ","2,393 ","1,239 ",875 ,279 ,,208 ,58 ,59 ,49 ,42 ,299 ,198 ,58 ,16 ,27 ,"320,277 ","171,826 ","98,979 ","39,682 ","9,790 ",,,,,,,,,,,,,,,
